订单号: xge240229000000672, 失败原因: 主动关闭订单
订单号: xge240229000000657, 失败原因: 主动关闭订单
订单号: xge240229000000651, 失败原因: 主动关闭订单
订单号: xge240229000000606, 失败原因: 主动关闭订单
订单号: xge240229000000586, 失败原因: 金额为0
订单号: xge240229000000576, 失败原因: 主动关闭订单
订单号: xge240229000000573, 失败原因: 主动关闭订单
订单号: xge240229000000571, 失败原因: 主动关闭订单
订单号: xge240229000000568, 失败原因: 主动关闭订单
订单号: xge240229000000566, 失败原因: 主动关闭订单
订单号: xge240229000000547, 失败原因: 主动关闭订单
订单号: xge240229000000517, 失败原因: 主动关闭订单
订单号: xge240229000000489, 失败原因: 主动关闭订单
订单号: xge240229000000482, 失败原因: 主动关闭订单
订单号: xge240229000000475, 失败原因: 主动关闭订单
订单号: xge240229000000470, 失败原因: 主动关闭订单
订单号: xge240229000000469, 失败原因: 主动关闭订单
订单号: xge240229000000461, 失败原因: 主动关闭订单
订单号: xge240229000000460, 失败原因: 超时未支付订单关闭
订单号: xge240229000000450, 失败原因: 订单未支付
订单号: xge240229000000427, 失败原因: 主动关闭订单
订单号: xge240229000000413, 失败原因: 主动关闭订单
订单号: xge240229000000406, 失败原因: 主动关闭订单
订单号: xge240229000000387, 失败原因: 主动关闭订单
订单号: xge240229000000362, 失败原因: 金额为0
订单号: xge240229000000361, 失败原因: 金额为0
订单号: xge240229000000360, 失败原因: 金额为0
订单号: xge240229000000351, 失败原因: 超时未支付订单关闭
订单号: xge240229000000298, 失败原因: 超时未支付订单关闭
订单号: xge240229000000275, 失败原因: 超时未支付订单关闭
订单号: xge240229000000271, 失败原因: 超时未支付订单关闭
订单号: xge240229000000267, 失败原因: 超时未支付订单关闭
订单号: xge240229000000264, 失败原因: 超时未支付订单关闭
订单号: xge240229000000253, 失败原因: 主动关闭订单
订单号: xge240229000000241, 失败原因: 主动关闭订单
订单号: xge240229000000224, 失败原因: 主动关闭订单
订单号: xge240229000000207, 失败原因: 主动关闭订单
订单号: xge240229000000174, 失败原因: 交易成功
订单号: xge240229000000141, 失败原因: 主动关闭订单
订单号: xge240229000000134, 失败原因: 超时未支付订单关闭
订单号: xge240229000000108, 失败原因: 主动关闭订单
订单号: xge240229000000104, 失败原因: 主动关闭订单
订单号: xge240229000000066, 失败原因: 主动关闭订单
订单号: xge240229000000042, 失败原因: 超时未支付订单关闭
订单号: xge240229000000031, 失败原因: 主动关闭订单
订单号: xge240229000000027, 失败原因: 超时未支付订单关闭
订单号: xge240229000000015, 失败原因: 订单未支付
订单号: xge240229000000014, 失败原因: 
订单号: xge240229000000012, 失败原因: 交易成功
订单号: xge240229000000010, 失败原因: 交易成功
订单号: xge240229000000009, 失败原因: 
